time_ms,state,state_age_ms,power_available,hmi_comms_ok,conveyor_cmd,gate_close_cmd,clamp_cmd,pump_cmd,valve_1_cmd,valve_2_cmd,gate_closed_fb,gate_open_fb,clamp_engaged_fb,bottle_1_positioned,bottle_2_positioned,pulse_1,pulse_2,analog_flow_1_ml_s,analog_flow_2_ml_s,volume_1_ml,volume_2_ml,inspection_trigger,inspection_id,vision_ready,vision_busy,result_valid,result_id,plc_heartbeat,vision_heartbeat,capper_request,capper_ready,capper_busy,capper_complete,first_out_fault,hold_reason,restart_inhibit,released
0,UNINITIALIZED,0,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
20,UNINITIALIZED,20,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
40,UNINITIALIZED,40,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
60,UNINITIALIZED,60,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
80,UNINITIALIZED,80,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
100,UNINITIALIZED,100,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
120,UNINITIALIZED,120,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
140,UNINITIALIZED,140,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
160,UNINITIALIZED,160,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
180,UNINITIALIZED,180,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
200,UNINITIALIZED,200,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
220,UNINITIALIZED,220,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
240,UNINITIALIZED,240,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
260,UNINITIALIZED,260,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
280,UNINITIALIZED,280,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
300,UNINITIALIZED,300,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
320,UNINITIALIZED,320,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
340,UNINITIALIZED,340,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
360,UNINITIALIZED,360,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
380,UNINITIALIZED,380,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
400,UNINITIALIZED,400,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
420,UNINITIALIZED,420,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
440,UNINITIALIZED,440,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
460,UNINITIALIZED,460,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,0,False,True,False,False,,,True,False
480,UNINITIALIZED,480,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,0,1,False,True,False,False,,,True,False
500,UNINITIALIZED,500,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
520,UNINITIALIZED,520,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
540,UNINITIALIZED,540,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
560,UNINITIALIZED,560,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
580,UNINITIALIZED,580,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
600,UNINITIALIZED,600,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
620,UNINITIALIZED,620,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
640,UNINITIALIZED,640,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
660,UNINITIALIZED,660,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
680,UNINITIALIZED,680,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
700,UNINITIALIZED,700,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
720,UNINITIALIZED,720,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
740,UNINITIALIZED,740,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
760,UNINITIALIZED,760,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
780,UNINITIALIZED,780,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
800,UNINITIALIZED,800,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
820,UNINITIALIZED,820,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
840,UNINITIALIZED,840,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
860,UNINITIALIZED,860,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
880,UNINITIALIZED,880,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
900,UNINITIALIZED,900,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
920,UNINITIALIZED,920,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
940,UNINITIALIZED,940,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
960,UNINITIALIZED,960,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,1,False,True,False,False,,,True,False
980,UNINITIALIZED,980,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,1,2,False,True,False,False,,,True,False
1000,STOPPED,0,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,,,True,False
1020,STOPPED,20,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,,,True,False
1040,STOPPED,40,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,,,True,False
1060,STOPPED,60,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,,,True,False
1080,STOPPED,80,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,,,True,False
1100,STOPPED,100,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,,,True,False
1120,STOPPED,120,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,,,True,False
1140,STOPPED,140,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,,,True,False
1160,STOPPED,160,True,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,False,0,True,False,False,0,2,2,False,True,False,False,,,True,False
