scenario,final_state,diagnostic,result_class,session_epoch,inspection_id,product_released,pump_cmd,valve_1_cmd,valve_2_cmd,automatic_restart,identity_accepted,explicit_recovery,evidence_class
normal_pass,READY,NONE,PASS,100,42,True,False,False,False,False,True,NONE,BEHAVIORAL_FAULT_INJECTION_MODEL
valid_fail,HOLDING,QUALITY_FAIL,FAIL,100,42,False,False,False,False,False,True,OPERATOR_DISPOSITION,BEHAVIORAL_FAULT_INJECTION_MODEL
hold_result,HOLDING,QUALITY_HOLD,HOLD,100,42,False,False,False,False,False,True,OPERATOR_DISPOSITION,BEHAVIORAL_FAULT_INJECTION_MODEL
ai_timeout,HOLDING,RESULT_TIMEOUT,INVALID,100,42,False,False,False,False,False,True,CLEAR_CAUSE_RESET_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
heartbeat_loss,FAULTED,EDGE_HEARTBEAT_LOSS,INVALID,100,42,False,False,False,False,False,True,RESTORE_HEARTBEAT_RESET_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
camera_disconnected,FAULTED,CAMERA_DISCONNECTED,INVALID,100,42,False,False,False,False,False,True,RESTORE_CAMERA_RECALIBRATE_RESET,BEHAVIORAL_FAULT_INJECTION_MODEL
model_unavailable,FAULTED,MODEL_UNAVAILABLE,INVALID,100,42,False,False,False,False,False,True,LOAD_APPROVED_MODEL_RESET,BEHAVIORAL_FAULT_INJECTION_MODEL
low_confidence,HOLDING,LOW_CONFIDENCE,INVALID,100,42,False,False,False,False,False,True,OPERATOR_DISPOSITION,BEHAVIORAL_FAULT_INJECTION_MODEL
malformed_result,FAULTED,MALFORMED_RESULT,INVALID,100,42,False,False,False,False,False,True,CORRECT_EDGE_FAULT_RESET_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
stale_result_id,HOLDING,STALE_RESULT_ID,INVALID,100,42,False,False,False,False,False,False,ACK_CLEAR_RESET_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
duplicate_result,HOLDING,DUPLICATE_RESULT,INVALID,100,42,False,False,False,False,False,False,ACK_CLEAR_RESET_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
future_unknown_id,FAULTED,FUTURE_RESULT_ID,INVALID,100,42,False,False,False,False,False,False,CLEAR_EDGE_STATE_RESET_NEW_SESSION,BEHAVIORAL_FAULT_INJECTION_MODEL
delayed_after_timeout,HOLDING,LATE_RESULT,INVALID,100,42,False,False,False,False,False,False,ACK_CLEAR_RESET_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
reordered_messages,FAULTED,PUBLICATION_ORDER_FAULT,INVALID,100,42,False,False,False,False,False,True,CORRECT_EDGE_FAULT_RESET_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
opcua_disconnect,FAULTED,OPCUA_DISCONNECTED,INVALID,100,42,False,False,False,False,False,True,RECONNECT_RECONCILE_RESET,BEHAVIORAL_FAULT_INJECTION_MODEL
opcua_reconnection,HOLDING,RECONNECT_RECONCILIATION,INVALID,100,42,False,False,False,False,False,True,DISABLED_SYNC_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
edge_service_restart,HOLDING,EDGE_RESTART,INVALID,100,42,False,False,False,False,False,True,RESTORE_OR_INVALIDATE_PUBLICATION_RESET,BEHAVIORAL_FAULT_INJECTION_MODEL
plc_restart,STOPPED,PLC_SESSION_CHANGED,INVALID,100,42,False,False,False,False,False,False,DISABLED_SYNC_EXPLICIT_START,BEHAVIORAL_FAULT_INJECTION_MODEL
recipe_change_during_inspection,HOLDING,RECIPE_CHANGED,INVALID,100,42,False,False,False,False,False,True,ABORT_CLEAR_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
clock_discontinuity,HOLDING,CLOCK_DISCONTINUITY,INVALID,100,42,False,False,False,False,False,True,RESTORE_TIME_SYNC_RESET_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
log_storage_failure,FAULTED,AUDIT_STORAGE_FAILURE,INVALID,100,42,False,False,False,False,False,True,RESTORE_STORAGE_RESET,BEHAVIORAL_FAULT_INJECTION_MODEL
corrupt_configuration,FAULTED,CONFIG_INVALID,INVALID,100,42,False,False,False,False,False,True,RESTORE_APPROVED_CONFIG_RESTART,BEHAVIORAL_FAULT_INJECTION_MODEL
invalid_model_hash,FAULTED,MODEL_HASH_MISMATCH,INVALID,100,42,False,False,False,False,False,True,ROLLBACK_APPROVED_MODEL_RESET,BEHAVIORAL_FAULT_INJECTION_MODEL
excessive_latency,HOLDING,LATENCY_EXCEEDED,INVALID,100,42,False,False,False,False,False,True,INVESTIGATE_PERFORMANCE_RESET_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
queue_saturation,FAULTED,QUEUE_SATURATION,INVALID,100,42,False,False,False,False,False,True,DRAIN_OR_RESTART_RESET,BEHAVIORAL_FAULT_INJECTION_MODEL
operator_bypass_request,HOLDING,BYPASS_REQUESTED,INVALID,100,42,False,False,False,False,False,True,AUTHORIZED_DISPOSITION_ONLY,BEHAVIORAL_FAULT_INJECTION_MODEL
recovery_after_fault,STOPPED,RECOVERY_COMPLETE,INVALID,100,42,False,False,False,False,False,True,EXPLICIT_NEW_START,BEHAVIORAL_FAULT_INJECTION_MODEL
contradictory_result,FAULTED,RESULT_CONTRADICTION,INVALID,100,42,False,False,False,False,False,True,CORRECT_EDGE_FAULT_RESET_NEW_REQUEST,BEHAVIORAL_FAULT_INJECTION_MODEL
